DBN,School Name,School Type,Most Recent Quality Review,Quality Review Rating,Progress Rating,Achievement Rating,Environment Rating,College and Career Readiness Rating,Closing the Achievement Gap Rating,Principal,Enrollment,% ELL,% Students with Disabilities,% Self-Contained,% Free Lunch,% Black or Hispanic,% Overage,Average Grade 8 English Proficiency,Average Grade 8 Math Proficiency,Percent Asian,Percent Black,Percent Hispanic,Percent White,Percent Other,Principal at Time of Quality Review,Quality Review: How interesting and challenging is the curriculum?,Quality Review: How effective is the teaching and learning?,Quality Review: How well does the school assess what students are learning?,Quality Review: How clearly are high expectations communicated to students and staff?,Quality Review: How well do teachers work with each other?,State Accountability,Teacher Attendance,Years of Principal Experience at This School,Shared Space,Average SAT Score
19K404,Academy for Young Writers,High School,"February 6-7, 2012",Well Developed,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Courtney Winkfield,423,0.019,0.165,0.064,0.684,0.96,0.05,2.58,2.17,0.012,0.709,0.248,0.009,0.021,Courtney Winkfield,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Good Standing,0.96,4,true,1185
19K409,East New York Family Academy,High School,"May 21-22, 2014",Proficient,Meeting Target,Meeting Target,Approaching Target,Approaching Target,N/A,Anthony Yard,285,0.011,0.116,0.039,0.722,0.968,0.018,2.57,2.6,0.011,0.667,0.302,0.007,0.014,Anthony Yard,Proficient,Developing,Proficient,Proficient,Proficient,Good Standing,0.95,1,false,1245
19K502,FDNY High School for Fire and Life Safety,High School,"Dec. 5 – 6, 2012",Proficient,Meeting Target,Meeting Target,Meeting Target,Not Meeting Target,Meeting Target,James Anderson,296,0.034,0.301,0.128,0.756,0.959,0.132,2.16,2.06,0.01,0.74,0.22,0.02,0.01,James Anderson,Proficient,Proficient,Proficient,Proficient,Proficient,Priority,0.97,7,true,1092
19K504,High School for Civil Rights,High School,"February 8-9, 2011",Proficient,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Michael S. Steele,349,0.097,0.278,0.126,0.708,0.977,0.244,2.16,2.02,0.006,0.765,0.212,0.017,0,Michael Steele,Well Developed,Well Developed,Proficient,Proficient,Well Developed,Good Standing,0.96,8,true,1084
19K507,Performing Arts and Technology High School,High School,"Jan 14-15, 2013",Proficient,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Franklin Encarnacion,428,0.023,0.199,0.103,0.882,0.995,0.084,2.28,2.11,0.002,0.804,0.189,0.002,0.002,Reginald Richardson,Well Developed,Proficient,Proficient,Proficient,Proficient,Good Standing,0.97,1,true,1082
19K510,World Academy for Total Community Health High School,High School,"October 22-23, 2012",Developing,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,Claudette Christie,309,0.068,0.204,0.104,0.81,0.955,0.136,2.25,2.09,0.01,0.783,0.172,0.019,0.016,Kim Wanliss,Proficient,Developing,Developing,Developing,Developing,Good Standing,0.95,1,true,1144
19K583,Multicultural High School,High School,"April 10-11, 2014",Proficient,Approaching Target,Not Meeting Target,Approaching Target,Not Meeting Target,Approaching Target,Alexandra Hernandez,322,0.932,0.019,0.003,0.85,0.997,0.329,1.77,1.94,0,0.003,0.994,0.003,0,Alexandra Hernandez,Proficient,Developing,Developing,Proficient,Proficient,Focus,0.97,3,true,949
19K615,Transit Tech Career and Technical Education High School,High School,"May 27-28, 2014",Developing,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Marlon Bynum,1167,0.039,0.23,0.117,0.695,0.919,0.057,2.28,2.19,0.057,0.663,0.254,0.014,0.011,Marlon Bynum,Developing,Developing,Developing,Developing,Developing,Good Standing,0.95,1,false,1195
19K618,Academy of Innovative Technology,High School,"February 26-27, 2014",Proficient,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Cynthia Fowlkes,440,0.107,0.25,0.107,0.725,0.902,0.077,2.22,2.1,0.064,0.448,0.452,0.018,0.018,Cynthia Fowlkes,Proficient,Proficient,Proficient,Well Developed,Proficient,Good Standing,0.96,6,true,1139
19K639,Brooklyn Lab School,High School,"April 7-8, 2014",Developing,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Renel Piton,364,0.181,0.242,0.118,0.743,0.937,0.173,2.22,2.07,0.041,0.346,0.591,0.011,0.011,Renel Piton,Proficient,Developing,Developing,Proficient,Proficient,Local Assistance Plan,0.95,3,true,1116
19K659,Cypress Hills Collegiate Preparatory School,High School,"May 7-8, 2014",Developing,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Amy Yager,370,0.224,0.181,0.097,0.776,0.886,0.146,2.22,2.03,0.059,0.157,0.73,0.043,0.011,Amy Yager,Proficient,Developing,Developing,Proficient,Proficient,Priority,0.96,2,true,1152
19K660,W. H. Maxwell Career and Technical Education High School,High School,"October 22-23, 2013",Proficient,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Jocelyn Badette,463,0.08,0.346,0.263,0.795,0.978,0.156,2.09,1.97,0.004,0.674,0.302,0.011,0.009,Jocelyn Badette,Proficient,Proficient,Proficient,Proficient,Proficient,Local Assistance Plan,0.95,6,false,1034
19K683,"The School for Classics: An Academy of Thinkers, Writers and Peformers",High School,"March 5-6, 2012",Well Developed,Meeting Target,Exceeding Target,Meeting Target,Approaching Target,Meeting Target,Janice Ross,309,0.1,0.223,0.165,0.833,0.893,0.123,2.34,2.1,0.061,0.644,0.249,0.029,0.016,Janice Ross,Well Developed,Well Developed,Well Developed,Proficient,Well Developed,Good Standing,0.97,5,true,1090
20K445,New Utrecht High School,High School,"December 4-5, 2013",Proficient,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Maureen Goldfarb,3362,0.212,0.187,0.087,0.624,0.333,0.083,2.41,2.48,0.381,0.045,0.288,0.281,0.005,Maureen Goldfarb,Proficient,Developing,Developing,Proficient,Proficient,Local Assistance Plan,0.96,7,true,1353
20K485,High School of  Telecommunication Arts and Technology,High School,,N/A,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Xhenete Shepard,1313,0.065,0.262,0.07,0.688,0.654,0.022,2.58,2.58,0.173,0.089,0.565,0.167,0.006,,N/A,N/A,N/A,N/A,N/A,Good Standing,0.96,0,true,1370
20K490,Fort Hamilton High School,High School,"May 14-16, 2014",Developing,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Kaye Houlihan,4317,0.198,0.158,0.079,0.523,0.34,0.046,2.61,2.64,0.311,0.053,0.287,0.335,0.014,Kaye Houlihan,Developing,Developing,Developing,Proficient,Developing,Local Assistance Plan,0.96,2,false,1392
20K505,Franklin Delano Roosevelt High School,High School,"May 21-23, 2012",Proficient,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Exceeding Target,Steven Demarco,3130,0.362,0.15,0.081,0.709,0.394,0.132,2.35,2.4,0.41,0.111,0.282,0.191,0.006,Steven Demarco,Proficient,Developing,Proficient,Proficient,Proficient,Local Assistance Plan,0.96,4,false,1345
20K609,Urban Assembly School for Criminal Justice,High School,"November 20-21, 2013",Proficient,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,Mariela Graham,301,0.116,0.136,0.023,0.816,0.432,0.056,2.58,2.36,0.439,0.206,0.226,0.12,0.01,Mariela Graham,Proficient,Proficient,Developing,Proficient,Proficient,Good Standing,0.98,7,true,1334
21K337,International High School at Lafayette,High School,2014-03-04T00:00:00.000,Proficient,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Exceeding Target,Jon Harriman,345,0.875,0.026,0.006,0.817,0.299,0.275,1.74,2.3,0.409,0.099,0.197,0.29,0.006,Jon Harriman,Proficient,Proficient,Proficient,Proficient,Proficient,Focus,0.97,3,true,1057
21K344,Rachel Carson High School for Coastal Studies,High School,December 3-4 2013,Proficient,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Edward Wilensky,517,0.114,0.19,0.068,0.704,0.435,0.058,2.46,2.31,0.149,0.219,0.217,0.402,0.014,Edward Wilensky,Proficient,Developing,Proficient,Proficient,Proficient,Good Standing,0.96,8,true,1268
21K348,High School of Sports Management,High School,"February 4-5, 2013",Developing,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Robin Pitts,323,0.05,0.198,0.074,0.748,0.916,0.077,2.22,2.13,0.025,0.706,0.211,0.05,0.009,Robin Pitts,Developing,Developing,Developing,Proficient,Proficient,Good Standing,0.95,9,true,1186
21K410,Abraham Lincoln High School,High School,"Feb 11-13, 2013",Proficient,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,Ari Hoogenboom,2313,0.147,0.162,0.086,0.611,0.602,0.068,2.45,2.36,0.167,0.369,0.233,0.222,0.009,Ari Hoogenboom,Proficient,Developing,Proficient,Proficient,Well Developed,Focus,0.96,10,true,1269
21K468,Kingsborough Early College School,High School,"December 16-17, 2010",Well Developed,Meeting Target,Meeting Target,Approaching Target,Exceeding Target,N/A,Connie Hamilton,330,0.006,0.13,0.003,0.664,0.485,0.006,2.76,2.79,0.073,0.258,0.227,0.436,0.006,Connie Hamilton,Well Developed,Well Developed,Well Developed,Proficient,Well Developed,Good Standing,0.95,8,true,1393
21K525,Edward R. Murrow High School,High School,"February 26-28, 2014",Proficient,Approaching Target,Approaching Target,Meeting Target,Meeting Target,Exceeding Target,Allen Barge,4021,0.079,0.176,0.071,0.454,0.437,0.02,2.73,2.71,0.27,0.229,0.206,0.281,0.014,Allen Barge,Proficient,Developing,Proficient,Proficient,Developing,Local Assistance Plan,0.96,2,true,1443
21K540,John Dewey High School,High School,"May 29 – 31, 2013",Proficient,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Exceeding Target,Kathleen Elvin,1937,0.244,0.132,0.057,0.751,0.474,0.102,2.38,2.49,0.387,0.262,0.212,0.134,0.006,Kathleen Elvin,Proficient,Developing,Developing,Proficient,Developing,Local Assistance Plan,0.97,2,true,1312
21K559,Life Academy High School for Film and Music,High School,"November 28 - 29, 2012",Proficient,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,Lisa Ferraiola,260,0.031,0.212,0.085,0.76,0.792,0.077,2.35,2.17,0.046,0.523,0.265,0.162,0.004,Lisa Marie Ferraiola,Proficient,Proficient,Proficient,Proficient,Proficient,Good Standing,0.98,3,true,1170
21K572,Expeditionary Learning School for Community Leaders,High School,"April 10 - 11, 2013",Proficient,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,David Ohara,276,0.174,0.181,0.083,0.687,0.638,0.109,2.36,2.32,0.159,0.21,0.428,0.185,0.018,David O'Hara,Proficient,Proficient,Well Developed,Proficient,Well Developed,Focus,0.97,3,true,1183
21K620,William E. Grady Career and Technical Education High School,High School,"November 29-30, 2012",Proficient,Approaching Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Tarah Montalbano,636,0.047,0.325,0.162,0.782,0.895,0.107,2.2,2.12,0.025,0.731,0.164,0.071,0.009,Geraldine Maione,Proficient,Developing,Developing,Well Developed,Developing,Good Standing,0.95,1,true,1146
21K690,Brooklyn Studio Secondary School,High School,"March 4-5, 2014",Developing,Approaching Target,Approaching Target,Not Meeting Target,Meeting Target,Meeting Target,Andrea Ciliotta,647,0.107,0.192,0.049,0.597,0.277,0.034,2.61,2.47,0.139,0.062,0.215,0.583,0.002,Andrea Ciliotta,Proficient,Developing,Developing,Developing,Developing,Good Standing,0.96,4,true,1338
22K405,Midwood High School,High School,"December 18-19, 2013",Proficient,Meeting Target,Approaching Target,Meeting Target,Meeting Target,N/A,Michael Mcdonnell,3877,0.038,0.072,0.023,0.437,0.437,0.011,3.06,3.05,0.333,0.315,0.12,0.228,0.004,Michael Mcdonnell,Proficient,Proficient,Proficient,Proficient,Proficient,Good Standing,0.96,1,false,1561
22K425,James Madison High School,High School,"May 27-29, 2014",Proficient,Approaching Target,Approaching Target,Meeting Target,Meeting Target,Exceeding Target,Jodie Cohen,3055,0.125,0.148,0.053,0.518,0.328,0.037,2.63,2.59,0.214,0.172,0.155,0.456,0.003,Jodie Cohen,Developing,Developing,Proficient,Well Developed,Proficient,Good Standing,0.96,1,false,1428
22K495,Sheepshead Bay High School,High School,"December 10-12, 2012",Developing,N/A,N/A,N/A,N/A,N/A,John Omahoney,1124,0.27,0.174,0.107,0.603,0.734,0.161,2.26,2.17,0.13,0.547,0.186,0.133,0.004,John O'Mahoney,Developing,Developing,Developing,Developing,Underdeveloped,Priority,0.96,3,true,1158
22K535,Leon M. Goldstein High School for the Sciences,High School,,N/A,Exceeding Target,Exceeding Target,Approaching Target,Exceeding Target,N/A,Scott Hughes,1046,0.01,0.141,0.028,0.337,0.195,0,3.32,3.31,0.18,0.087,0.104,0.618,0.011,,N/A,N/A,N/A,N/A,N/A,Reward,0.97,2,true,1679
22K555,Brooklyn College Academy,High School,"December 2-3, 2013",Well Developed,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,N/A,Nicholas Mazzarella,587,0.002,0.046,0.012,0.557,0.835,0.009,3.13,2.89,0.083,0.738,0.097,0.037,0.044,Nicholas Mazzarella,Well Developed,Well Developed,Proficient,Well Developed,Proficient,Good Standing,0.98,9,false,1492
22K611,Origins High School,High School,,N/A,N/A,N/A,N/A,N/A,N/A,John Banks,85,0.141,0.141,0.082,0.6,0.635,0.082,2.43,2.26,0.141,0.4,0.235,0.2,0.024,,N/A,N/A,N/A,N/A,N/A,Good Standing,0.98,1,true,
23K493,Brooklyn Collegiate: A College Board School,High School,2014-04-09T00:00:00.000,Proficient,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Not Meeting Target,Amote Sias,345,0.041,0.255,0.139,0.747,0.974,0.087,2.24,2.08,0.009,0.864,0.11,0.009,0.009,Amote Sias,Proficient,Developing,Proficient,Proficient,Proficient,Focus,0.97,10,true,1152
23K514,Frederick Douglass Academy VII High School,High School,,N/A,Approaching Target,Approaching Target,Approaching Target,Exceeding Target,Approaching Target,Tamika Matheson,328,0.018,0.271,0.131,0.752,0.985,0.143,2.28,2.13,0.003,0.857,0.128,0.009,0.003,,N/A,N/A,N/A,N/A,N/A,Good Standing,0.95,8,true,1126
23K644,Eagle Academy for Young Men II,High School,"January 17 - 18, 2013",Proficient,N/A,N/A,N/A,N/A,N/A,Rashad Meade,226,0.022,0.239,0.102,0.73,0.973,0.022,2.28,2.06,0,0.872,0.102,0.013,0.013,Rashad Meade,Proficient,Developing,Proficient,Well Developed,Proficient,Good Standing,0.97,6,true,
23K697,Teachers Preparatory High School,High School,"February 12-13, 2013",Developing,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Not Meeting Target,Carmen Simon,366,0.022,0.205,0.112,0.701,0.986,0.082,2.34,2.18,0,0.839,0.148,0.005,0.008,Carmen Simon,Developing,Developing,Developing,Developing,Proficient,Good Standing,0.95,4,true,1212
24Q236,International High School for Health Sciences,High School,,N/A,N/A,N/A,N/A,N/A,N/A,Carl Finney,50,0.96,0.02,0,0.6,0.76,0.46,1.79,2.12,0.16,0.04,0.72,0.08,0,,N/A,N/A,N/A,N/A,N/A,Good Standing,0.99,1,true,
24Q264,Academy of Finance and  Enterprise,High School,,N/A,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,N/A,Victoria Armano,467,0.066,0.146,0.026,0.668,0.66,0.024,2.73,2.77,0.186,0.088,0.572,0.135,0.019,,N/A,N/A,N/A,N/A,N/A,Good Standing,0.96,2,true,1415
24Q267,High School of Applied Communication,High School,,N/A,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Daniel Korb,421,0.1,0.181,0.048,0.617,0.703,0.05,2.42,2.39,0.154,0.121,0.582,0.119,0.024,,N/A,N/A,N/A,N/A,N/A,Good Standing,0.97,6,true,1229
24Q293,Civic Leadership Academy,High School,"December 10-11, 2013",Proficient,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Phuong Nguyen,453,0.086,0.23,0.044,0.67,0.845,0.029,2.39,2.33,0.079,0.066,0.779,0.051,0.024,Phuong Nguyen,Proficient,Developing,Developing,Well Developed,Proficient,Good Standing,0.97,6,true,1208
24Q296,Pan American International High School,High School,"February 11-12, 2014",Proficient,Meeting Target,Not Meeting Target,Meeting Target,Not Meeting Target,Not Meeting Target,Minerva Zanca,367,0.883,0.025,0.011,0.784,0.997,0.144,1.78,1.94,0.003,0,0.997,0,0,Minerva Zanca,Developing,Developing,Proficient,Proficient,Proficient,Focus,0.97,2,true,996
24Q299,Bard High School Early College Queens,High School,,N/A,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,N/A,Valeri Thomson,600,0.003,0.017,0,0.296,0.29,0.003,3.7,3.78,0.348,0.108,0.168,0.35,0.025,,N/A,N/A,N/A,N/A,N/A,Good Standing,0.98,6,true,1822
24Q455,Newtown High School,High School,Oct 22 - 24 2012,Developing,Approaching Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,John Ficalora,2074,0.317,0.141,0.059,0.686,0.695,0.166,2.31,2.27,0.255,0.088,0.605,0.04,0.013,John Ficalora,Developing,Developing,Developing,Developing,Developing,Local Assistance Plan,0.96,22,true,1202
24Q485,Grover Cleveland High School,High School,"May 27-29, 2014",Proficient,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Denise Vittor,1869,0.231,0.182,0.084,0.634,0.696,0.087,2.35,2.29,0.093,0.053,0.643,0.203,0.009,Denise Vittor,Proficient,Developing,Proficient,Well Developed,Proficient,Priority,0.96,3,false,1239
24Q520,Middle College High School at LaGuardia Community College,High School,"December 9-10, 2013",Proficient,Approaching Target,Approaching Target,Exceeding Target,Meeting Target,N/A,Linda Siegmund,495,0.004,0.162,0.02,0.676,0.844,0.03,2.34,2.35,0.075,0.053,0.792,0.077,0.004,Linda Siegmund,Proficient,Proficient,Proficient,Proficient,Developing,Good Standing,0.94,7,true,1145
24Q530,International High School at LaGuardia Community College,High School,,N/A,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,John Starkey,503,0.728,0.018,0.008,0.795,0.477,0.141,1.89,2.35,0.41,0.03,0.447,0.111,0.002,,N/A,N/A,N/A,N/A,N/A,Good Standing,0.98,3,true,1137
24Q550,High School for Arts and Business,High School,"January 5-6, 2011",Well Developed,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Ana R. Zambrano-Burakov,887,0.116,0.156,0.033,0.696,0.868,0.034,2.43,2.38,0.088,0.079,0.789,0.033,0.011,Ana R. Zambrano-Burakov,Well Developed,Proficient,Proficient,Well Developed,Proficient,Good Standing,0.96,7,false,1202
24Q560,"Robert F. Wagner, Jr. Secondary School for Arts and Technology",High School,"April 8-9, 2013",Developing,Meeting Target,Approaching Target,Meeting Target,Meeting Target,N/A,Ann Seifullah,521,0.063,0.152,0.025,0.641,0.726,0.017,2.65,2.56,0.173,0.056,0.668,0.098,0.006,Annie Seifullah,Developing,Developing,Developing,Proficient,Developing,Good Standing,0.95,0,false,1332
24Q585,Maspeth High School,High School,"February 6,-February 7, 2014",Proficient,N/A,N/A,N/A,N/A,N/A,Khurshid Abdul-Mutakabbir,751,0.032,0.123,0.033,0.533,0.486,0.016,2.82,2.73,0.165,0.029,0.457,0.345,0.004,Khurshid Abdul-Mutakabbir,Proficient,Proficient,Proficient,Well Developed,Proficient,Good Standing,0.99,3,true,
24Q600,Queens Vocational and Technical High School,High School,"April 30-May 1, 2012",Well Developed,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Exceeding Target,Melissa Burg,1514,0.048,0.157,0.06,0.754,0.82,0.026,2.57,2.57,0.104,0.058,0.762,0.074,0.003,Melissa Burg,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Good Standing,0.96,4,false,1268
24Q610,Aviation Career & Technical Education High School,High School,,N/A,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,N/A,Deno Charalambous,2231,0.026,0.093,0.043,0.612,0.581,0.01,2.78,2.92,0.292,0.062,0.519,0.108,0.02,,N/A,N/A,N/A,N/A,N/A,Good Standing,0.96,5,false,1441
25Q240,Veritas Academy,High School,,N/A,N/A,N/A,N/A,N/A,N/A,Cheryl Quatrano,124,0.097,0.21,0.097,0.6,0.702,0.016,2.65,2.54,0.185,0.153,0.532,0.113,0.016,,N/A,N/A,N/A,N/A,N/A,Good Standing,0.97,1,true,
25Q241,Queens High School for Language Studies,High School,,N/A,N/A,N/A,N/A,N/A,N/A,Melanie Lee,70,0.386,0.057,0,0.6,0.3,0.1,2.59,2.63,0.671,0.086,0.214,0.014,0.014,,N/A,N/A,N/A,N/A,N/A,Good Standing,0.99,1,true,
25Q252,"Queens School of Inquiry, The",High School,"April 8-9, 2014",Proficient,Approaching Target,Meeting Target,Meeting Target,Exceeding Target,N/A,Meredith Inbal,311,0.016,0.141,0.006,0.444,0.457,0.019,3.02,2.89,0.35,0.193,0.248,0.174,0.035,Meredith Inbal,Well Developed,Proficient,Developing,Well Developed,Developing,Good Standing,0.98,4,true,1518
25Q263,Flushing International High School,High School,"May 30-31, 2012",Proficient,Approaching Target,Approaching Target,Exceeding Target,Meeting Target,Exceeding Target,Lara Evangelista,412,0.864,0.022,0.002,0.865,0.371,0.231,1.81,2.43,0.595,0.024,0.347,0.029,0.005,Lara Evangelista,Proficient,Proficient,Proficient,Proficient,Proficient,Good Standing,0.98,3,true,1083
25Q281,East-West School of International Studies,High School,"May 1-2, 2012",Well Developed,Meeting Target,Exceeding Target,Approaching Target,Meeting Target,Exceeding Target,Ben Sherman,371,0.162,0.175,0.043,0.66,0.337,0.038,2.67,2.81,0.606,0.151,0.183,0.049,0.011,Ben Sherman,Well Developed,Proficient,Proficient,Well Developed,Well Developed,Good Standing,0.97,8,true,1431
25Q285,World Journalism Preparatory: A College Board School,High School,"November 15-16, 2011",Well Developed,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,N/A,Cynthia Schneider,369,0.003,0.252,0.016,0.354,0.304,0.008,2.9,2.55,0.157,0.087,0.214,0.52,0.022,Cynthia Schneider,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Good Standing,0.97,8,true,1400
25Q425,John Bowne High School,High School,"May 22-24, 2013",Proficient,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Howard Kwait,3722,0.24,0.147,0.071,0.679,0.632,0.088,2.45,2.42,0.308,0.19,0.441,0.049,0.012,Howard Kwait,Proficient,Proficient,Proficient,Proficient,Proficient,Local Assistance Plan,0.96,8,false,1294
25Q460,Flushing High School,High School,March 11-13 2014,Developing,Not Meeting Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,James Brown,2499,0.197,0.16,0.071,0.681,0.753,0.086,2.37,2.3,0.202,0.259,0.494,0.036,0.009,James Brown,Developing,Developing,Developing,Developing,Proficient,Priority,0.96,5,true,1260
25Q525,Townsend Harris High School,High School,,N/A,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,N/A,Anthony D. Barbetta,1151,0,0.008,0.002,0.365,0.187,0.001,3.99,4.05,0.581,0.06,0.125,0.221,0.013,,N/A,N/A,N/A,N/A,N/A,Reward,0.95,2,true,1955
25Q670,Robert F. Kennedy Community High School,High School,"December 9-10, 2013",Well Developed,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Beshir Abdellatif,685,0.128,0.247,0.064,0.657,0.479,0.039,2.42,2.42,0.315,0.12,0.358,0.201,0.006,Beshir Abdellatif,Proficient,Well Developed,Well Developed,Well Developed,Proficient,Good Standing,0.97,3,false,1306
26Q415,Benjamin N. Cardozo High School,High School,"December 17-19, 2013",Proficient,Meeting Target,Meeting Target,Approaching Target,Meeting Target,N/A,Gerald Martori,3628,0.056,0.149,0.06,0.438,0.381,0.024,2.91,2.9,0.449,0.186,0.193,0.159,0.013,Gerald Martori,Proficient,Proficient,Developing,Proficient,Developing,Good Standing,0.95,6,true,1595
26Q430,Francis Lewis High School,High School,"March 12-14, 2012",Proficient,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,David Marmor,4058,0.137,0.155,0.085,0.606,0.316,0.036,2.87,2.96,0.527,0.078,0.237,0.145,0.013,Musa Ali Shama,Proficient,Proficient,Proficient,Proficient,Well Developed,Good Standing,0.96,1,true,1538
26Q435,Martin Van Buren High School,High School,"May 8-10, 2013",Developing,Approaching Target,Not Meeting Target,Approaching Target,Approaching Target,Approaching Target,Sam Sochet,2096,0.117,0.135,0.07,0.59,0.699,0.121,2.33,2.15,0.254,0.563,0.135,0.027,0.021,Sam Sochet,Developing,Developing,Developing,Developing,Developing,Priority,0.97,2,true,1253
26Q495,Bayside High School,High School,,N/A,Meeting Target,Meeting Target,Approaching Target,Exceeding Target,N/A,Michael Athy,3241,0.056,0.162,0.058,0.588,0.401,0.028,2.83,2.77,0.403,0.126,0.275,0.19,0.006,,N/A,N/A,N/A,N/A,N/A,Good Standing,0.95,6,true,1511
26Q566,"Queens High School of Teaching, Liberal Arts and the Sciences",High School,"April 22-23, 2013",Well Developed,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Jae Hyun Cho,1164,0.021,0.21,0.052,0.474,0.642,0.023,2.64,2.51,0.251,0.456,0.185,0.098,0.01,Jae Hyun Cho,Well Developed,Proficient,Well Developed,Well Developed,Proficient,Good Standing,0.97,3,true,1328
27Q260,Frederick Douglass Academy VI High School,High School,"April 24-25, 2014",Developing,Not Meeting Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Carlston Gray,412,0.061,0.211,0.114,0.667,0.956,0.126,2.29,2.09,0.027,0.592,0.364,0.01,0.007,Carlston Gray,Developing,Developing,Developing,Proficient,Developing,Focus,0.96,1,true,1093
27Q262,Channel View School for Research,High School,2011-11-21T00:00:00.000,Proficient,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,N/A,Patricia J. Tubridy,453,0.013,0.148,0.035,0.648,0.823,0.035,2.59,2.35,0.053,0.517,0.307,0.117,0.007,Patricia J. Tubridy,Well Developed,Proficient,Proficient,Proficient,Proficient,Good Standing,0.97,7,true,1293
27Q302,"Queens High School for Information, Research, and Technology",High School,"March 11-12, 2014",Developing,Meeting Target,Exceeding Target,Exceeding Target,Approaching Target,Approaching Target,Magaly Hicks,322,0.14,0.193,0.121,0.788,0.935,0.137,2.26,2.07,0.037,0.543,0.391,0.025,0.003,Magaly Hicks,Developing,Developing,Developing,Developing,Proficient,Good Standing,0.95,2,true,1123
27Q308,Robert H. Goddard High School of Communication Arts and Technology,High School,"January 7-8, 2014",Proficient,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Joseph Birgeles,598,0.038,0.162,0.1,0.656,0.507,0.013,2.64,2.51,0.289,0.072,0.433,0.184,0.022,Dr. Joseph J. Birgeles,Proficient,Developing,Proficient,Proficient,Proficient,Good Standing,0.97,4,true,1252
27Q309,Academy of Medical Technology: A College Board School,High School,"November 29-30, 2012",Proficient,Approaching Target,Approaching Target,Meeting Target,Meeting Target,Approaching Target,Jose Merced,412,0.09,0.165,0.044,0.691,0.879,0.087,2.37,2.14,0.073,0.488,0.391,0.024,0.024,Jose Merced,Proficient,Proficient,Proficient,Proficient,Proficient,Good Standing,0.97,6,true,1200
27Q323,Scholars' Academy,High School,,N/A,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,N/A,Brian O'connell,464,0,0.006,0,0.455,0.392,0.002,3.66,3.44,0.211,0.209,0.179,0.379,0.022,,N/A,N/A,N/A,N/A,N/A,Reward,0.96,9,false,1670
