DBN,School Name,School Type,Most Recent Quality Review,Quality Review Rating,Progress Rating,Achievement Rating,Environment Rating,College and Career Readiness Rating,Closing the Achievement Gap Rating,Principal,Enrollment,% ELL,% Students with Disabilities,% Self-Contained,% Free Lunch,% Black or Hispanic,% Overage,Average Grade 8 English Proficiency,Average Grade 8 Math Proficiency,Percent Asian,Percent Black,Percent Hispanic,Percent White,Percent Other,Principal at Time of Quality Review,Quality Review: How interesting and challenging is the curriculum?,Quality Review: How effective is the teaching and learning?,Quality Review: How well does the school assess what students are learning?,Quality Review: How clearly are high expectations communicated to students and staff?,Quality Review: How well do teachers work with each other?,State Accountability,Teacher Attendance,Years of Principal Experience at This School,Shared Space,Average SAT Score
12X242,Mott Hall V,High School,,N/A,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Peter Oroszlany,348,0.069,0.259,0.078,0.83,0.925,0.063,2.4,2.45,0.046,0.227,0.698,0.02,0.009,,N/A,N/A,N/A,N/A,N/A,Good Standing,0.97,9,true,
12X248,"Metropolitan High School, The",High School,,N/A,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Approaching Target,Andrea Riley,313,0.214,0.275,0.121,0.789,0.968,0.131,2.16,2.11,0.013,0.198,0.77,0.006,0.013,,N/A,N/A,N/A,N/A,N/A,Good Standing,0.97,0,true,1118
12X251,Explorations Academy,High School,"May 6 – 7, 2013",Proficient,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Susana Hernandez,357,0.182,0.314,0.19,0.814,0.969,0.129,2.11,2.05,0,0.297,0.667,0.017,0.02,Susana Hernandez,Proficient,Developing,Proficient,Proficient,Proficient,Good Standing,0.97,7,true,1068
12X262,Performance Conservatory High School,High School,,N/A,N/A,N/A,N/A,N/A,N/A,Eulynis Matthias Fridie,23,0,0.348,0.174,0.786,0.957,0,2.22,1.93,0.043,0.522,0.435,0,0,,N/A,N/A,N/A,N/A,N/A,Good Standing,0.95,4,false,
12X267,Bronx Latin,High School,,N/A,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Annette Fiorentino,279,0.136,0.254,0.136,0.874,0.989,0.079,2.36,2.25,0.007,0.222,0.767,0.004,0,,N/A,N/A,N/A,N/A,N/A,Good Standing,0.97,2,true,1225
12X271,East Bronx Academy for the Future,High School,"November 21-22, 2013",Developing,Approaching Target,Exceeding Target,Approaching Target,Meeting Target,Exceeding Target,Sarah Scrogin,363,0.105,0.278,0.116,0.804,0.972,0.096,2.23,2.04,0.019,0.264,0.705,0.008,0.003,Sarah Scrogin,Developing,Developing,Developing,Developing,Proficient,Focus,0.96,10,true,1199
12X278,Peace and Diversity Academy,High School,2014-05-12T00:00:00.000,Developing,Approaching Target,Not Meeting Target,Approaching Target,Not Meeting Target,Approaching Target,Andrew Turay,189,0.19,0.307,0.196,0.908,0.979,0.228,2.05,1.88,0,0.444,0.534,0.005,0.016,Andrew Turay,Developing,Developing,Developing,Developing,Developing,Focus,0.95,10,true,978
12X372,Urban Assembly School for Wildlife Conservation,High School,"November 13-14, 2013",Proficient,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Mark Ossenheimer,332,0.087,0.241,0.066,0.799,0.922,0.063,2.33,2.14,0.036,0.223,0.699,0.036,0.006,Mark Ossenheimer,Proficient,Proficient,Proficient,Proficient,Proficient,Focus,0.96,7,true,
12X388,Pan American International High School at Monroe,High School,"October 23-24, 2013",Well Developed,Exceeding Target,Exceeding Target,Exceeding Target,Approaching Target,Exceeding Target,Bridgit Claire Bye,401,0.943,0.017,0.01,0.992,1,0.439,1.71,1.89,0,0,1,0,0,Bridgit Claire Bye,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Good Standing,0.97,6,true,919
12X478,THE CINEMA SCHOOL,High School,"April 23-24, 2012",Well Developed,Exceeding Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Keisha Warner,318,0.031,0.079,0.013,0.716,0.912,0.031,2.63,2.44,0.047,0.236,0.673,0.038,0.006,Rex Bobbish,Proficient,Proficient,Well Developed,Well Developed,Well Developed,Good Standing,0.97,1,true,1297
12X479,Bronx Career and College Preparatory High School,High School,"November 13-14, 2013",Proficient,Approaching Target,Not Meeting Target,Meeting Target,Meeting Target,Not Meeting Target,Kizhaya A. Roberts,323,0.158,0.285,0.17,0.777,0.978,0.152,2.21,2.1,0.012,0.365,0.613,0,0.009,Kizhaya A. Roberts,Developing,Developing,Proficient,Well Developed,Proficient,Good Standing,0.96,5,true,1205
12X511,Bronx Envision Academy,High School,"February 25-26, 2014",Proficient,N/A,N/A,N/A,N/A,N/A,Emily Shu,239,0.121,0.264,0.134,0.75,0.958,0.113,2.23,2.14,0.013,0.343,0.615,0.021,0.008,Emily Shu,Proficient,Developing,Developing,Well Developed,Proficient,Good Standing,0.93,3,true,
12X521,The Metropolitan Soundview High School,High School,"February 5-6, 2014",Proficient,N/A,N/A,N/A,N/A,N/A,Michael Lanaghan,316,0.142,0.241,0.139,0.872,0.943,0.127,2.2,2.12,0.019,0.297,0.646,0.016,0.022,Michael Lanaghan,Proficient,Developing,Developing,Proficient,Developing,Good Standing,0.97,3,true,
12X550,High School of World Cultures,High School,"December 11-12, 2013",Developing,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Exceeding Target,Ramon Namnun,388,0.892,0.003,0,0.936,0.899,0.379,1.89,2.01,0.064,0.09,0.809,0.008,0.028,Ramon Namnun,Developing,Developing,Developing,Proficient,Proficient,Focus,0.97,11,true,1006
12X682,Fannie Lou Hamer Freedom High School,High School,,N/A,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Exceeding Target,Nancy Mann,493,0.093,0.29,0.15,0.811,0.992,0.095,2.17,2.06,0.004,0.3,0.692,0,0.004,,N/A,N/A,N/A,N/A,N/A,Good Standing,0.98,12,false,1092
12X684,Wings Academy,High School,,N/A,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Tuwanna Williams Gray,534,0.028,0.253,0.135,0.789,0.968,0.107,2.21,2.13,0.009,0.579,0.39,0.011,0.011,,N/A,N/A,N/A,N/A,N/A,Focus,0.96,1,false,1156
12X690,Monroe Academy for Business/Law,High School,,N/A,N/A,N/A,N/A,N/A,N/A,Charles Ogundimu,56,0.107,0.268,0.143,0.921,0.964,0.125,2.1,2.1,0.018,0.25,0.714,0,0.018,,N/A,N/A,N/A,N/A,N/A,Priority,0.95,4,false,
12X692,Monroe Academy for Visual Arts & Design,High School,,N/A,Approaching Target,Not Meeting Target,Approaching Target,Not Meeting Target,Approaching Target,Richard J. Massel,460,0.217,0.248,0.128,0.914,0.97,0.124,2.08,2.03,0.009,0.22,0.75,0.013,0.009,,N/A,N/A,N/A,N/A,N/A,Priority,0.96,9,true,1077
